dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.166499,2.823125,0.003333,0.333333,16.666667,833.333333,3.121912
0.020000,2.152173,2.823356,0.017662,0.716412,19.153911,124.362195,3.128486
0.020000,2.120648,2.823553,0.049188,1.576306,42.994707,1192.039829,3.142371
0.020000,2.076675,2.823066,0.093163,2.198769,31.123185,-593.576083,3.163260
0.020000,2.027758,2.821391,0.142108,2.447271,12.425094,-934.904570,3.188818
0.020000,1.977702,2.818309,0.192260,2.507567,3.014811,-470.514153,3.217827
0.020000,1.926308,2.813540,0.243875,2.580740,3.658643,32.191605,3.251023
0.020000,1.873336,2.806710,0.297285,2.670501,4.488051,41.470385,3.289344
0.020000,1.818515,2.797319,0.352904,2.780965,5.523196,51.757265,3.333986
0.020000,1.761536,2.784689,0.411267,2.918127,6.858087,66.744564,3.386473
0.020000,1.702086,2.767888,0.473044,3.088884,8.537866,83.988926,3.448720
0.020000,1.639955,2.745658,0.539033,3.299415,10.526541,99.433738,3.523021
0.020000,1.575192,2.716336,0.610124,3.554594,12.758926,111.619284,3.611919
0.020000,1.508491,2.677931,0.687092,3.848377,14.689176,96.512459,3.717644
0.020000,1.441672,2.628488,0.770214,4.156113,15.386781,34.880277,3.841002
0.020000,1.378058,2.567017,0.858676,4.423096,13.349175,-101.880315,3.979669
0.020000,1.322031,2.494711,0.950148,4.573595,7.524942,-291.211641,4.126970
0.020000,1.277425,2.415372,1.041167,4.550963,-1.131617,-432.827942,4.272972
0.020000,1.245777,2.334089,1.128393,4.361295,-9.483370,-417.587648,4.408094
0.020000,1.226089,2.255136,1.209765,4.068576,-14.635987,-257.630877,4.526435
0.020000,1.215989,2.180873,1.284711,3.747309,-16.063359,-71.368569,4.626371
0.020000,1.212966,2.111996,1.353655,3.447184,-15.006212,52.857355,4.709122
0.020000,1.214969,2.048250,1.417431,3.188842,-12.917126,104.454261,4.777092
0.020000,1.220507,1.989004,1.476936,2.975253,-10.679454,111.883629,4.832842
0.020000,1.228540,1.933559,1.532960,2.801176,-8.703856,98.779899,4.878638
0.020000,1.238353,1.881281,1.586151,2.659551,-7.081206,81.132501,4.916335
0.020000,1.249448,1.831638,1.637019,2.543399,-5.807619,63.679332,4.947393
0.020000,1.261467,1.784194,1.685961,2.447122,-4.813865,49.687725,4.972945
0.020000,1.274149,1.738605,1.733281,2.366003,-4.055932,37.896637,4.993862
0.020000,1.287293,1.694594,1.779213,2.296579,-3.471196,29.236777,5.010811
