dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000291,0.350000,0.003333,0.333333,16.666667,833.333333,6.282353
0.020000,0.000058,0.350000,0.003566,0.011655,-16.083916,-1637.529150,6.283019
0.020000,0.022926,0.350013,0.026434,1.143366,56.585562,3633.473924,0.001169
0.020000,0.058945,0.350089,0.062453,1.800982,32.880788,-1185.238722,0.003014
0.020000,0.098236,0.350247,0.101745,1.964580,8.179895,-1235.044636,0.005038
0.020000,0.137523,0.350485,0.141032,1.964367,-0.010622,-409.525867,0.007074
0.020000,0.176805,0.350803,0.180315,1.964153,-0.010716,-0.004670,0.009123
0.020000,0.216082,0.351202,0.219594,1.963937,-0.010812,-0.004823,0.011184
0.020000,0.255353,0.351681,0.258869,1.963719,-0.010912,-0.004977,0.013258
0.020000,0.294619,0.352243,0.298138,1.963498,-0.011014,-0.005130,0.015344
0.020000,0.333879,0.352887,0.337404,1.963276,-0.011120,-0.005284,0.017444
0.020000,0.373134,0.353613,0.376665,1.963051,-0.011229,-0.005438,0.019556
0.020000,0.412382,0.354422,0.415922,1.962825,-0.011341,-0.005592,0.021681
0.020000,0.451623,0.355315,0.455173,1.962595,-0.011456,-0.005746,0.023818
0.020000,0.490859,0.356292,0.494421,1.962364,-0.011574,-0.005899,0.025970
0.020000,0.530087,0.357353,0.533663,1.962130,-0.011695,-0.006053,0.028134
0.020000,0.569308,0.358500,0.572901,1.961894,-0.011819,-0.006206,0.030312
0.020000,0.608522,0.359732,0.612134,1.961655,-0.011946,-0.006358,0.032503
0.020000,0.647728,0.361050,0.651363,1.961413,-0.012076,-0.006511,0.034708
0.020000,0.686926,0.362454,0.690586,1.961169,-0.012209,-0.006662,0.036926
0.020000,0.726116,0.363946,0.729804,1.960922,-0.012346,-0.006813,0.039159
0.020000,0.765298,0.365525,0.769018,1.960673,-0.012485,-0.006964,0.041405
0.020000,0.804471,0.367192,0.808226,1.960420,-0.012627,-0.007114,0.043665
0.020000,0.843635,0.368948,0.847430,1.960165,-0.012772,-0.007262,0.045939
0.020000,0.882790,0.370793,0.886628,1.959946,-0.010912,0.093043,0.048228
0.020000,0.921937,0.372727,0.925823,1.959734,-0.010614,0.014874,0.050531
0.020000,0.961074,0.374752,0.965013,1.959473,-0.013047,-0.121659,0.052848
0.020000,1.000201,0.376868,1.004197,1.959209,-0.013205,-0.007907,0.055181
0.020000,1.039318,0.379074,1.043376,1.958942,-0.013366,-0.008052,0.057527
0.020000,1.078424,0.381373,1.082549,1.958671,-0.013530,-0.008196,0.059889
0.020000,1.117519,0.383763,1.121717,1.958397,-0.013697,-0.008338,0.062265
0.020000,1.156602,0.386247,1.160879,1.958120,-0.013867,-0.008478,0.064657
0.020000,1.195674,0.388824,1.200036,1.957839,-0.014039,-0.008617,0.067063
0.020000,1.234735,0.391495,1.239188,1.957617,-0.011093,0.147305,0.069485
0.020000,1.273785,0.394260,1.278336,1.957390,-0.011350,-0.012868,0.071923
0.020000,1.312823,0.397121,1.317478,1.957102,-0.014405,-0.152735,0.074376
0.020000,1.351847,0.400077,1.356615,1.956810,-0.014590,-0.009229,0.076844
0.020000,1.390858,0.403130,1.395745,1.956515,-0.014777,-0.009359,0.079329
0.020000,1.429855,0.406279,1.434869,1.956215,-0.014966,-0.009487,0.081829
0.020000,1.468839,0.409525,1.473987,1.955912,-0.015159,-0.009612,0.084345
0.020000,1.507810,0.412870,1.513102,1.955710,-0.010091,0.253372,0.086877
0.020000,1.546767,0.416313,1.552210,1.955443,-0.013370,-0.163946,0.089426
0.020000,1.585709,0.419855,1.591313,1.955131,-0.015593,-0.111157,0.091991
0.020000,1.624635,0.423496,1.630409,1.954815,-0.015797,-0.010175,0.094572
0.020000,1.663545,0.427238,1.669499,1.954495,-0.016003,-0.010287,0.097170
0.020000,1.702439,0.431081,1.708583,1.954176,-0.015931,0.003600,0.099785
0.020000,1.741320,0.435025,1.747663,1.954010,-0.008347,0.379191,0.102417
0.020000,1.780184,0.439071,1.786737,1.953680,-0.016485,-0.406898,0.105066
0.020000,1.819030,0.443220,1.825803,1.953346,-0.016701,-0.010802,0.107732
0.020000,1.857858,0.447472,1.864864,1.953007,-0.016919,-0.010898,0.110415
0.020000,1.896668,0.451828,1.903917,1.952675,-0.016627,0.014565,0.113116
0.020000,1.935462,0.456288,1.942967,1.952502,-0.008647,0.399013,0.115834
0.020000,1.974237,0.460853,1.982010,1.952153,-0.017445,-0.439902,0.118570
0.020000,2.012993,0.465524,2.021046,1.951800,-0.017672,-0.011350,0.121323
0.020000,2.051728,0.470301,2.060075,1.951442,-0.017901,-0.011426,0.124095
0.020000,2.090445,0.475186,2.099099,1.951194,-0.012361,0.276983,0.126884
0.020000,2.129143,0.480177,2.138117,1.950913,-0.014084,-0.086147,0.129692
0.020000,2.167819,0.485277,2.177128,1.950543,-0.018467,-0.219159,0.132518
0.020000,2.206473,0.490486,2.216131,1.950169,-0.018703,-0.011798,0.135362
0.020000,2.245106,0.495804,2.255129,1.949893,-0.013802,0.245050,0.138226
0.020000,2.283719,0.501232,2.294122,1.949621,-0.013616,0.009330,0.141107
0.020000,2.322308,0.506771,2.333106,1.949235,-0.019299,-0.284174,0.144008
0.020000,2.360874,0.512420,2.372083,1.948844,-0.019541,-0.012097,0.146927
0.020000,2.399417,0.518182,2.411055,1.948603,-0.012058,0.374170,0.149866
0.020000,2.437938,0.524057,2.450021,1.948274,-0.016435,-0.218851,0.152824
