dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000291,-0.350000,0.003333,0.333333,16.666667,833.333333,6.282353
0.020000,-0.000058,-0.350000,0.003566,0.011655,-16.083916,-1637.529150,6.283019
0.020000,0.023744,-0.349986,0.027369,1.190106,58.922547,3750.323178,0.001169
0.020000,0.061055,-0.349908,0.064680,1.865549,33.772158,-1257.519448,0.003014
0.020000,0.101763,-0.349744,0.105388,2.035427,8.493890,-1263.913396,0.005038
0.020000,0.142475,-0.349498,0.146101,2.035643,0.010805,-424.154252,0.007074
0.020000,0.183191,-0.349168,0.186818,2.035861,0.010884,0.003922,0.009123
0.020000,0.223910,-0.348755,0.227540,2.036080,0.010960,0.003832,0.011184
0.020000,0.264633,-0.348257,0.268266,2.036301,0.011035,0.003741,0.013258
0.020000,0.305360,-0.347675,0.308996,2.036523,0.011108,0.003650,0.015344
0.020000,0.346089,-0.347007,0.349731,2.036746,0.011179,0.003559,0.017444
0.020000,0.386822,-0.346253,0.390471,2.036971,0.011249,0.003468,0.019556
0.020000,0.427557,-0.345413,0.431215,2.037198,0.011316,0.003377,0.021681
0.020000,0.468295,-0.344486,0.471963,2.037425,0.011382,0.003285,0.023818
0.020000,0.509035,-0.343472,0.512716,2.037654,0.011446,0.003194,0.025970
0.020000,0.549778,-0.342370,0.553474,2.037884,0.011508,0.003102,0.028134
0.020000,0.590523,-0.341179,0.594236,2.038116,0.011568,0.003011,0.030312
0.020000,0.631270,-0.339899,0.635003,2.038348,0.011627,0.002920,0.032503
0.020000,0.672018,-0.338529,0.675775,2.038582,0.011683,0.002829,0.034708
0.020000,0.712769,-0.337069,0.716551,2.038817,0.011738,0.002738,0.036926
0.020000,0.753520,-0.335518,0.757332,2.039053,0.011791,0.002647,0.039159
0.020000,0.794273,-0.333875,0.798118,2.039289,0.011842,0.002556,0.041405
0.020000,0.835027,-0.332141,0.838908,2.039527,0.011891,0.002466,0.043665
0.020000,0.875781,-0.330314,0.879704,2.039766,0.011939,0.002376,0.045939
0.020000,0.916537,-0.328393,0.920505,2.040047,0.014076,0.106859,0.048228
0.020000,0.957294,-0.326379,0.961311,2.040339,0.014589,0.025634,0.050531
0.020000,0.998051,-0.324271,1.002123,2.040584,0.012259,-0.116480,0.052848
0.020000,1.038808,-0.322067,1.042940,2.040830,0.012298,0.001968,0.055181
0.020000,1.079565,-0.319768,1.083761,2.041077,0.012336,0.001880,0.057527
0.020000,1.120321,-0.317372,1.124588,2.041325,0.012372,0.001791,0.059889
0.020000,1.161076,-0.314880,1.165419,2.041573,0.012406,0.001704,0.062265
0.020000,1.201830,-0.312290,1.206256,2.041821,0.012438,0.001618,0.064657
0.020000,1.242583,-0.309603,1.247097,2.042071,0.012469,0.001532,0.067063
0.020000,1.283336,-0.306816,1.287945,2.042386,0.015755,0.164286,0.069485
0.020000,1.324088,-0.303930,1.328799,2.042700,0.015701,-0.002657,0.071923
0.020000,1.364838,-0.300944,1.369658,2.042955,0.012729,-0.148626,0.074376
0.020000,1.405585,-0.297857,1.410522,2.043210,0.012752,0.001129,0.076844
0.020000,1.446330,-0.294669,1.451391,2.043465,0.012772,0.001047,0.079329
0.020000,1.487072,-0.291379,1.492266,2.043721,0.012792,0.000966,0.081829
0.020000,1.527810,-0.287986,1.533145,2.043977,0.012810,0.000887,0.084345
0.020000,1.568547,-0.284490,1.574032,2.044344,0.018327,0.275879,0.086877
0.020000,1.609281,-0.280890,1.614925,2.044646,0.015124,-0.160176,0.089426
0.020000,1.650011,-0.277186,1.655823,2.044906,0.013022,-0.105090,0.091991
0.020000,1.690737,-0.273376,1.696727,2.045167,0.013032,0.000499,0.094572
0.020000,1.731458,-0.269460,1.737635,2.045428,0.013040,0.000425,0.097170
0.020000,1.772173,-0.265437,1.778549,2.045695,0.013340,0.015007,0.099785
0.020000,1.812887,-0.261307,1.819472,2.046125,0.021509,0.408421,0.102417
0.020000,1.853595,-0.257069,1.860399,2.046389,0.013217,-0.414568,0.105066
0.020000,1.894296,-0.252722,1.901332,2.046654,0.013219,0.000054,0.107732
0.020000,1.934991,-0.248265,1.942271,2.046918,0.013218,-0.000012,0.110415
0.020000,1.975680,-0.243699,1.983215,2.047193,0.013753,0.026720,0.113116
0.020000,2.016364,-0.239021,2.024167,2.047640,0.022353,0.430027,0.115834
0.020000,2.057042,-0.234232,2.065126,2.047907,0.013361,-0.449611,0.118570
0.020000,2.097711,-0.229330,2.106089,2.048174,0.013354,-0.000359,0.121323
0.020000,2.138372,-0.224316,2.147058,2.048441,0.013346,-0.000415,0.124095
0.020000,2.179026,-0.219187,2.188035,2.048829,0.019395,0.302494,0.126884
0.020000,2.219673,-0.213944,2.229018,2.049186,0.017824,-0.078584,0.129692
0.020000,2.260310,-0.208585,2.270007,2.049455,0.013455,-0.218445,0.132518
0.020000,2.300938,-0.203111,2.311002,2.049724,0.013440,-0.000730,0.135362
0.020000,2.341557,-0.197520,2.352004,2.050100,0.018828,0.269372,0.138226
0.020000,2.382167,-0.191811,2.393014,2.050485,0.019263,0.021777,0.141107
0.020000,2.422766,-0.185984,2.434029,2.050756,0.013523,-0.287028,0.144008
0.020000,2.463353,-0.180038,2.475049,2.051026,0.013502,-0.001015,0.146927
0.020000,2.503931,-0.173971,2.516078,2.051458,0.021617,0.405706,0.149866
0.020000,2.544498,-0.167784,2.557114,2.051803,0.017249,-0.218391,0.152824
0.020000,2.585052,-0.161476,2.598156,2.052074,0.013559,-0.184481,0.155801
