dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000005,2.630901,0.003333,0.333333,16.666667,833.333333,0.000014
0.020000,0.012505,2.630900,0.015834,0.625018,14.584226,-104.122027,6.282946
0.020000,0.038984,2.630886,0.042312,1.323922,34.945201,1018.048768,6.282408
0.020000,0.075368,2.630844,0.078696,1.819207,24.764246,-509.047783,6.281601
0.020000,0.115028,2.630762,0.118357,1.983021,8.190729,-828.675864,6.280631
0.020000,0.154656,2.630640,0.157984,1.981382,-0.081966,-413.634728,6.279567
0.020000,0.194250,2.630474,0.197579,1.979739,-0.082142,-0.008799,6.278409
0.020000,0.233811,2.630261,0.237141,1.978093,-0.082302,-0.008017,6.277157
0.020000,0.273339,2.629996,0.276670,1.976443,-0.082512,-0.010478,6.275811
0.020000,0.312834,2.629677,0.316166,1.974788,-0.082746,-0.011703,6.274370
0.020000,0.352294,2.629299,0.355628,1.973129,-0.082975,-0.011463,6.272835
0.020000,0.391721,2.628859,0.395057,1.971464,-0.083217,-0.012073,6.271204
0.020000,0.431114,2.628353,0.434453,1.969795,-0.083470,-0.012660,6.269478
0.020000,0.470472,2.627778,0.473816,1.968121,-0.083688,-0.010905,6.267657
0.020000,0.509796,2.627130,0.513145,1.966441,-0.083994,-0.015308,6.265739
0.020000,0.549084,2.626405,0.552440,1.964755,-0.084292,-0.014881,6.263725
0.020000,0.588337,2.625600,0.591701,1.963064,-0.084587,-0.014758,6.261614
0.020000,0.627554,2.624711,0.630928,1.961366,-0.084891,-0.015199,6.259407
0.020000,0.666735,2.623734,0.670122,1.959662,-0.085203,-0.015605,6.257102
0.020000,0.705880,2.622666,0.709281,1.957951,-0.085514,-0.015555,6.254699
0.020000,0.744987,2.621504,0.748405,1.956235,-0.085796,-0.014114,6.252198
0.020000,0.784057,2.620242,0.787495,1.954512,-0.086180,-0.019166,6.249599
0.020000,0.823089,2.618878,0.826551,1.952782,-0.086517,-0.016852,6.246901
0.020000,0.862082,2.617408,0.865572,1.951044,-0.086858,-0.017046,6.244103
0.020000,0.901036,2.615829,0.904558,1.949300,-0.087201,-0.017189,6.241206
0.020000,0.939950,2.614136,0.943509,1.947549,-0.087547,-0.017280,6.238209
0.020000,0.978824,2.612327,0.982425,1.945792,-0.087893,-0.017314,6.235111
0.020000,1.017657,2.610397,1.021305,1.944027,-0.088239,-0.017290,6.231913
0.020000,1.056447,2.608342,1.060150,1.942256,-0.088553,-0.015678,6.228613
0.020000,1.095196,2.606160,1.098960,1.940478,-0.088909,-0.017798,6.225212
0.020000,1.133900,2.603846,1.137734,1.938692,-0.089263,-0.017736,6.221709
0.020000,1.172561,2.601396,1.176472,1.936900,-0.089595,-0.016561,6.218103
