dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.752121,1.570261,0.003333,0.333333,16.666667,833.333333,2.512094
0.020000,7.741377,1.578157,0.016667,1.000000,33.333333,833.333333,2.503492
0.020000,7.720097,1.594227,0.043333,1.666667,33.333333,0.000000,2.485982
0.020000,7.691311,1.616936,0.080000,2.000000,16.666667,-833.333333,2.461250
0.020000,7.660569,1.642526,0.120000,2.000000,0.000000,-833.333333,2.433426
0.020000,7.630562,1.668973,0.160000,2.000000,0.000000,0.000000,2.404759
0.020000,7.601336,1.696282,0.200000,2.000000,0.000000,0.000000,2.375302
0.020000,7.572938,1.724449,0.240000,2.000000,0.000000,0.000000,2.345122
0.020000,7.545412,1.753470,0.280000,2.000000,0.000000,0.000000,2.314300
0.020000,7.518802,1.783333,0.320000,2.000000,0.000000,0.000000,2.282934
0.020000,7.493149,1.814021,0.360000,2.000000,0.000000,0.000000,2.251134
0.020000,7.468490,1.845514,0.400000,2.000000,0.000000,0.000000,2.219022
0.020000,7.444857,1.877784,0.440000,2.000000,0.000000,0.000000,2.186730
0.020000,7.422280,1.910801,0.480000,2.000000,0.000000,0.000000,2.154399
0.020000,7.400781,1.944530,0.520000,2.000000,0.000000,0.000000,2.122171
0.020000,7.380376,1.978932,0.560000,2.000000,0.000000,0.000000,2.090191
0.020000,7.361075,2.013966,0.600000,2.000000,0.000000,0.000000,2.058600
0.020000,7.342881,2.049587,0.640000,2.000000,0.000000,0.000000,2.027534
0.020000,7.325791,2.085750,0.680000,2.000000,0.000000,0.000000,1.997119
0.020000,7.309795,2.122411,0.720000,2.000000,0.000000,0.000000,1.967469
0.020000,7.294877,2.159523,0.760000,2.000000,0.000000,0.000000,1.938687
0.020000,7.281015,2.197043,0.800000,2.000000,0.000000,0.000000,1.910858
0.020000,7.268183,2.234928,0.840000,2.000000,0.000000,0.000000,1.884057
0.020000,7.256351,2.273137,0.880000,2.000000,0.000000,0.000000,1.858340
0.020000,7.245484,2.311631,0.920000,2.000000,0.000000,0.000000,1.833751
0.020000,7.235543,2.350375,0.960000,2.000000,0.000000,0.000000,1.810322
0.020000,7.226491,2.389337,1.000000,2.000000,0.000000,0.000000,1.788071
0.020000,7.218284,2.428485,1.040000,2.000000,0.000000,0.000000,1.767007
0.020000,7.210880,2.467793,1.080000,2.000000,0.000000,0.000000,1.747130
0.020000,7.204235,2.507237,1.120000,2.000000,0.000000,0.000000,1.728433
0.020000,7.198306,2.546794,1.160000,2.000000,0.000000,0.000000,1.710903
0.020000,7.193049,2.586447,1.200000,2.000000,0.000000,0.000000,1.694522
0.020000,7.188419,2.626178,1.240000,2.000000,0.000000,0.000000,1.679269
0.020000,7.184374,2.665972,1.280000,2.000000,0.000000,0.000000,1.665121
0.020000,7.180870,2.705818,1.320000,2.000000,0.000000,0.000000,1.652054
0.020000,7.177867,2.745705,1.360000,2.000000,0.000000,0.000000,1.640041
0.020000,7.175322,2.785624,1.400000,2.000000,0.000000,0.000000,1.629059
0.020000,7.173195,2.825567,1.440000,2.000000,0.000000,0.000000,1.619081
0.020000,7.171447,2.865529,1.480000,2.000000,0.000000,0.000000,1.610086
0.020000,7.170040,2.905504,1.520000,2.000000,0.000000,0.000000,1.602050
0.020000,7.168935,2.945488,1.560000,2.000000,0.000000,0.000000,1.594952
0.020000,7.168095,2.985480,1.600000,2.000000,0.000000,0.000000,1.588775
0.020000,7.167485,3.025475,1.640000,2.000000,0.000000,0.000000,1.583501
0.020000,7.167067,3.065473,1.680000,2.000000,0.000000,0.000000,1.579116
0.020000,7.166807,3.105472,1.720000,2.000000,0.000000,0.000000,1.575608
0.020000,7.166671,3.145472,1.760000,2.000000,0.000000,0.000000,1.572966
0.020000,7.166622,3.185472,1.800000,2.000000,0.000000,0.000000,1.571184
0.020000,7.166628,3.225016,1.839544,1.954404,-2.279821,-113.991067,1.570261
0.020000,7.166651,3.260314,1.874843,1.575474,-18.946488,-833.333333,1.570141
0.020000,7.166664,3.285157,1.899686,0.908807,-33.333333,-719.342267,1.570453
0.020000,7.166667,3.297123,1.911651,0.287737,-31.053512,113.991067,1.570721
0.020000,7.166667,3.300000,1.914528,0.000000,-14.386845,833.333333,1.570796
0.020000,7.166667,3.300000,1.914528,0.000000,0.000000,719.342267,1.570796
