dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000018,0.316667,0.003333,0.333333,16.666667,833.333333,0.000006
0.020000,0.014971,0.316701,0.018286,0.747655,20.716090,202.471165,0.004634
0.020000,0.044863,0.316978,0.048179,1.494634,37.348938,831.642406,0.013851
0.020000,0.085925,0.317805,0.089250,2.053526,27.944618,-470.215997,0.026434
0.020000,0.130658,0.319293,0.134007,2.237890,9.218204,-936.320704,0.040029
0.020000,0.175314,0.321383,0.178712,2.235220,-0.133506,-467.585482,0.053471
0.020000,0.219879,0.324065,0.223358,2.232299,-0.146068,-0.628135,0.066746
0.020000,0.264342,0.327330,0.267941,2.229139,-0.157987,-0.595953,0.079841
0.020000,0.308691,0.331168,0.312456,2.225751,-0.169419,-0.571590,0.092742
0.020000,0.352916,0.335565,0.356898,2.222134,-0.180860,-0.572027,0.105436
0.020000,0.397006,0.340510,0.401264,2.218310,-0.191180,-0.516025,0.117912
0.020000,0.440951,0.345990,0.445550,2.214292,-0.200879,-0.484919,0.130158
0.020000,0.484744,0.351990,0.489752,2.210082,-0.210540,-0.483077,0.142163
0.020000,0.528375,0.358498,0.533866,2.205705,-0.218806,-0.413273,0.153919
0.020000,0.571838,0.365498,0.577889,2.201163,-0.227132,-0.416346,0.165414
0.020000,0.615127,0.372976,0.621819,2.196475,-0.234371,-0.361934,0.176642
0.020000,0.658235,0.380915,0.665652,2.191651,-0.241205,-0.341681,0.187594
0.020000,0.701157,0.389302,0.709386,2.186704,-0.247348,-0.307175,0.198264
0.020000,0.743890,0.398119,0.753019,2.181646,-0.252898,-0.277501,0.208644
0.020000,0.786429,0.407351,0.796549,2.176489,-0.257885,-0.249343,0.218730
0.020000,0.828773,0.416982,0.839974,2.171243,-0.262300,-0.220722,0.228516
0.020000,0.870918,0.426996,0.883292,2.165919,-0.266176,-0.193844,0.237997
0.020000,0.912863,0.437376,0.926502,2.160528,-0.269572,-0.169789,0.247171
0.020000,0.954607,0.448108,0.969604,2.155079,-0.272450,-0.143876,0.256033
0.020000,0.996150,0.459174,1.012596,2.149580,-0.274932,-0.124133,0.264580
0.020000,1.037492,0.470559,1.055476,2.144041,-0.276953,-0.101012,0.272812
0.020000,1.078633,0.482246,1.098246,2.138468,-0.278627,-0.083741,0.280724
0.020000,1.119576,0.494221,1.140903,2.132870,-0.279941,-0.065688,0.288317
0.020000,1.160320,0.506468,1.183448,2.127251,-0.280922,-0.049030,0.295589
0.020000,1.200868,0.518970,1.225881,2.121618,-0.281663,-0.037045,0.302539
0.020000,1.241224,0.531714,1.268200,2.115976,-0.282083,-0.021012,0.309166
0.020000,1.281388,0.544684,1.310407,2.110329,-0.282355,-0.013619,0.315471
0.020000,1.321365,0.557864,1.352500,2.104682,-0.282358,-0.000122,0.321453
0.020000,1.361157,0.571242,1.394481,2.099037,-0.282262,0.004812,0.327113
0.020000,1.400769,0.584801,1.436349,2.093397,-0.281967,0.014728,0.332450
0.020000,1.440203,0.598528,1.478104,2.087765,-0.281602,0.018265,0.337465
0.020000,1.479464,0.612409,1.519747,2.082143,-0.281112,0.024503,0.342159
0.020000,1.518557,0.626430,1.561278,2.076532,-0.280572,0.026989,0.346532
0.020000,1.557484,0.640578,1.602696,2.070932,-0.279971,0.030062,0.350586
0.020000,1.596252,0.654838,1.644003,2.065345,-0.279342,0.031410,0.354320
0.020000,1.634863,0.669198,1.685199,2.059771,-0.278700,0.032130,0.357735
0.020000,1.673324,0.683644,1.726283,2.054210,-0.278058,0.032098,0.360833
0.020000,1.711638,0.698164,1.767256,2.048662,-0.277432,0.031304,0.363614
0.020000,1.749810,0.712745,1.808119,2.043125,-0.276838,0.029711,0.366078
0.020000,1.787846,0.727374,1.848871,2.037599,-0.276276,0.028073,0.368227
0.020000,1.825750,0.742039,1.889512,2.032084,-0.275777,0.024953,0.370060
0.020000,1.863526,0.756728,1.930044,2.026577,-0.275320,0.022856,0.371579
0.020000,1.901180,0.771428,1.970466,2.021078,-0.274949,0.018525,0.372783
0.020000,1.938716,0.786128,2.010777,2.015586,-0.274629,0.016038,0.373674
0.020000,1.976139,0.800815,2.050979,2.010098,-0.274407,0.011095,0.374251
0.020000,2.013454,0.815478,2.091071,2.004613,-0.274246,0.008015,0.374514
0.020000,2.050665,0.830104,2.131054,1.999129,-0.274181,0.003265,0.374465
0.020000,2.087777,0.844683,2.170927,1.993645,-0.274197,-0.000786,0.374102
0.020000,2.124794,0.859202,2.210690,1.988160,-0.274286,-0.004436,0.373425
0.020000,2.161722,0.873651,2.250344,1.982670,-0.274483,-0.009873,0.372435
