dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.891711,1.906592,0.003333,0.333333,16.666667,833.333333,4.130891
0.020000,7.884817,1.896080,0.015904,0.628525,14.759566,-95.355055,4.133071
0.020000,7.871054,1.874944,0.041126,1.261106,31.629077,843.475574,4.137198
0.020000,7.852169,1.845647,0.075982,1.742821,24.085723,-377.167708,4.142370
0.020000,7.831606,1.813386,0.114239,1.912823,8.500117,-779.280275,4.147352
0.020000,7.811065,1.780828,0.152735,1.924827,0.600179,-394.996926,4.151647
0.020000,7.790527,1.747986,0.191471,1.936769,0.597138,-0.152055,4.155260
0.020000,7.769970,1.714875,0.230444,1.948659,0.594461,-0.133835,4.158194
0.020000,7.749375,1.681510,0.269654,1.960503,0.592204,-0.112860,4.160451
0.020000,7.728720,1.647903,0.309100,1.972311,0.590407,-0.089847,4.162033
0.020000,7.707984,1.614070,0.348782,1.984093,0.589128,-0.063952,4.162942
0.020000,7.687145,1.580025,0.388699,1.995861,0.588376,-0.037612,4.163179
0.020000,7.666179,1.545780,0.428852,2.007624,0.588177,-0.009910,4.162743
0.020000,7.645064,1.511352,0.469240,2.019395,0.588535,0.017866,4.161635
0.020000,7.623775,1.476753,0.509863,2.031184,0.589431,0.044823,4.159853
0.020000,7.602289,1.441998,0.550723,2.043001,0.590871,0.071973,4.157396
0.020000,7.580581,1.407102,0.591820,2.054857,0.592783,0.095609,4.154261
0.020000,7.558625,1.372080,0.633156,2.066761,0.595188,0.120253,4.150446
0.020000,7.536396,1.336948,0.674730,2.078719,0.597935,0.137365,4.145948
0.020000,7.513867,1.301721,0.716545,2.090741,0.601097,0.158086,4.140762
0.020000,7.491012,1.266416,0.758601,2.102829,0.604398,0.165051,4.134886
0.020000,7.467805,1.231051,0.800901,2.114989,0.607969,0.178532,4.128315
0.020000,7.444218,1.195644,0.843446,2.127218,0.611466,0.174875,4.121045
0.020000,7.420224,1.160214,0.886236,2.139516,0.614931,0.173269,4.113073
0.020000,7.395795,1.124781,0.929274,2.151880,0.618161,0.161456,4.104393
0.020000,7.370905,1.089367,0.972559,2.164298,0.620915,0.137727,4.095005
0.020000,7.345525,1.053995,1.016095,2.176761,0.623160,0.112245,4.084903
0.020000,7.319629,1.018689,1.059880,2.189252,0.624555,0.069732,4.074088
0.020000,7.293190,0.983474,1.103915,2.201751,0.624932,0.018857,4.062559
0.020000,7.266182,0.948379,1.148199,2.214233,0.624100,-0.041573,4.050316
0.020000,7.238580,0.913431,1.192733,2.226668,0.621741,-0.117948,4.037363
0.020000,7.210360,0.878662,1.237513,2.239020,0.617627,-0.205721,4.023704
0.020000,7.181498,0.844104,1.282538,2.251251,0.611515,-0.305617,4.009345
0.020000,7.151974,0.809791,1.327804,2.263313,0.603097,-0.420861,3.994298
0.020000,7.121769,0.775759,1.373308,2.275156,0.592177,-0.546002,3.978573
0.020000,7.090864,0.742046,1.419042,2.286726,0.578494,-0.684188,3.962187
0.020000,7.059247,0.708691,1.465001,2.297960,0.561714,-0.839007,3.945159
0.020000,7.026903,0.675735,1.511177,2.308799,0.541941,-0.988620,3.927512
0.020000,6.993826,0.643218,1.557561,2.319175,0.518775,-1.158310,3.909272
0.020000,6.960009,0.611185,1.604141,2.329017,0.492126,-1.332465,3.890469
0.020000,6.925450,0.579678,1.650906,2.338264,0.462372,-1.487663,3.871137
0.020000,6.890152,0.548740,1.697843,2.346841,0.428831,-1.677092,3.851315
0.020000,6.854121,0.518415,1.744937,2.354692,0.392563,-1.813391,3.831045
0.020000,6.817367,0.488746,1.792172,2.361755,0.353116,-1.972332,3.810371
0.020000,6.779904,0.459773,1.839532,2.367967,0.310603,-2.125661,3.789342
0.020000,6.741750,0.431537,1.886997,2.373295,0.266407,-2.209772,3.768008
0.020000,6.702927,0.404076,1.934551,2.377696,0.220047,-2.318031,3.746423
0.020000,6.663460,0.377424,1.982174,2.381144,0.172388,-2.382940,3.724640
0.020000,6.623695,0.351813,2.029473,2.364935,-0.810441,-49.141455,3.702889
0.020000,6.587406,0.329491,2.072078,2.130264,-11.733560,-546.155955,3.683234
0.020000,6.561322,0.314045,2.102392,1.515670,-30.729670,-949.805478,3.669232
0.020000,6.548524,0.306645,2.117175,0.739172,-38.824915,-404.762250,3.662403
0.020000,6.545398,0.304855,2.120777,0.180125,-27.952359,543.627801,3.660739
0.020000,6.545398,0.304855,2.120777,0.000000,-9.006234,947.306237,3.660739
